Revenue
24806.4
Rack/Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,21,21,21,21,21,21,21,E,M,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,,
2,,16,16,16,16,E,16,16,16,16,E,,7,7,7,7,E,3,3,3,3,E,3,3,3,3,E,16,16,16,16,E,16,16,16,16,E,,,
3,21,21,21,21,21,21,21,E,,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,,
4,6,6,6,6,E,6,6,6,6,E,6,6,6,6,E,,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,,
5,21,21,21,21,21,21,21,E,,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,,
6,,16,16,16,16,E,16,16,16,16,E,,7,7,7,7,E,3,3,3,3,E,3,3,3,3,E,16,16,16,16,E,16,16,16,16,E,,,
7,21,21,21,21,21,21,21,E,,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,,
8,,16,16,16,16,E,16,16,16,16,E,,7,7,7,7,E,3,3,3,3,E,3,3,3,3,E,16,16,16,16,E,16,16,16,16,E,,,
9,21,21,21,21,21,21,21,E,,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,,
10,,16,16,16,16,E,16,16,16,16,E,,7,7,7,7,E,3,3,3,3,E,3,3,3,3,E,16,16,16,16,E,16,16,16,16,E,,,
11,21,21,21,21,21,21,21,E,,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,,
12,,16,16,16,16,E,16,16,16,16,E,,7,7,7,7,E,3,3,3,3,E,3,3,3,3,E,16,16,16,16,E,16,16,16,16,E,,,
13,21,21,21,21,21,21,21,E,,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,,
14,,16,16,16,16,E,16,16,16,16,E,,7,7,7,7,E,3,3,3,3,E,3,3,3,3,E,16,16,16,16,E,16,16,16,16,E,,,
15,21,21,21,21,21,21,21,E,,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,,
16,,16,16,16,16,E,16,16,16,16,E,,7,7,7,7,E,3,3,3,3,E,3,3,3,3,E,16,16,16,16,E,16,16,16,16,E,,,
17,21,21,21,21,21,21,21,E,,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,,
18,,16,16,16,16,E,16,16,16,16,E,,7,7,7,7,E,3,3,3,3,E,3,3,3,3,E,16,16,16,16,E,16,16,16,16,E,,,
19,21,21,21,21,21,21,21,E,,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,,
20,,16,16,16,16,E,16,16,16,16,E,,7,7,7,7,E,3,3,3,3,E,3,3,3,3,E,16,16,16,16,E,16,16,16,16,E,,,
21,21,21,21,21,21,21,21,E,,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,,
22,6,6,6,6,E,6,6,6,6,E,6,6,6,6,E,,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,,
23,21,21,21,21,21,21,21,E,,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,,
24,6,6,6,6,E,6,6,6,6,E,6,6,6,6,E,,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,,
25,21,21,21,21,21,21,21,E,,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,,
26,,16,16,16,16,E,16,16,16,16,E,,7,7,7,7,E,3,3,3,3,E,3,3,3,3,E,16,16,16,16,E,16,16,16,16,E,,,
27,21,21,21,21,21,21,21,E,,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,,
28,6,6,6,6,E,6,6,6,6,E,6,6,6,6,E,,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,,
29,21,21,21,21,21,21,21,E,,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,,
30,6,6,6,6,E,6,6,6,6,E,6,6,6,6,E,,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,,
31,21,21,21,21,21,21,21,E,,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,,
32,6,6,6,6,E,6,6,6,6,E,6,6,6,6,E,,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,,
